X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,aadb,program,bikepedgroup,bikepedfacility,co_name,mun_name,id
-75.252931,40.046643,78741,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/10 00:00:00+00,2011,4210160108,,nixon st  eastbound lane,east,port royal ave,shawmont ave,Bicycle 1,40.046643,-75.252931,0.93,1.1797,,,68,Project,Recreation,Mixed Traffic,Philadelphia,Lower Northwest,305
-75.252893,40.046667,78742,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/10 00:00:00+00,2011,4210160108,,nixon st westbound lane,west,port royal ave,shawmont ave,Bicycle 1,40.046667,-75.252893,0.93,1.1797,,,101,Project,Recreation,Mixed Traffic,Philadelphia,Lower Northwest,1486
-75.227863,39.935235,78721,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/03 00:00:00+00,2011,4210160110,,58th st northbound lane,north,chester ave,kingsessing ave,Bicycle 1,39.935235,-75.227863,0.93,1.1797,,,61,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,2763
-75.22797,39.935194,78722,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/03 00:00:00+00,2011,4210160110,,58th st southbound lane,south,chester ave,kingsessing ave,Bicycle 1,39.935194,-75.22797,0.93,1.1797,,,76,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,2822
-75.220025,39.928547,78738,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160102,,58th st southbound lane,south,elmwood ave,lindbergh blvd,Bicycle 1,39.928547,-75.220025,0.93,1.1797,,,45,Project,Low Volume,Mixed Traffic,Philadelphia,Lower Southwest,3363
-75.141581,39.960009,71281,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/14 00:00:00+00,2010,4210160103,,2nd st,south,spring garden st,noble st,Bicycle 1,39.960009,-75.141581,0.968,1.1797,,,104,Project,Low Volume,Mixed Traffic,Philadelphia,Central,3743
-75.14407,39.95776,71282,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,3rd st,north,callowhill st,willow st,Bicycle 1,39.95776,-75.14407,0.949,1.1797,,,353,Project,Mixed,Mixed Traffic,Philadelphia,Central,3831
-75.145476,39.951069,71283,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,3rd st,north,market st,arch st,Bicycle 1,39.951069,-75.145476,0.949,1.1797,,,473,Project,Mixed,Mixed Traffic,Philadelphia,Central,3832
-75.153705,39.950625,71285,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/21 00:00:00+00,2010,4210160103,,8th st,south,market st,chestnut st,Bicycle 1,39.950625,-75.153705,0.968,1.1797,,,402,Project,Low Volume,Mixed Traffic,Philadelphia,Central,3833
-75.15546,39.9498,71286,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,9th st,north,market st,chestnut st,Bicycle 1,39.9498,-75.15546,0.949,1.1797,,,293,Project,Mixed,Mixed Traffic,Philadelphia,Central,3834
-75.179958,39.955527,71869,jh,Seasonal factor are calculated from 2015 permanent station data.   Most cyclists on wide sidewalk,2011/04/28 00:00:00+00,2011,4210160110,3,john f kennedy blvd westbound lanes,west,schuylkill ave,23rd st,Bicycle 1,39.955527,-75.179958,0.962,1.1797,,,11,Screen Line,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,3907
-75.180227,39.954421,71872,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160103,3,market st bridge eastbound lanes,east,schuylkill ave,23rd st,Bicycle 1,39.954421,-75.180227,1.001,1.1797,,,225,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,3951
-75.180345,39.954495,71873,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160110,,market st bridge westbound lanes,west,schuylkill ave,23rd st,Bicycle 1,39.954495,-75.180345,1.001,1.1797,,,208,Screen Line,Mixed,Mixed Traffic,Philadelphia,University - Southwest,3952
-75.156902,39.95074,71287,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,10th st,south,market st,chestnut st,Bicycle 1,39.95074,-75.156902,0.949,1.1797,,,426,Project,Mixed,Mixed Traffic,Philadelphia,Central,4287
-75.1561,39.95433,71288,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,10th st,south,race st,arch st,Bicycle 1,39.95433,-75.1561,0.949,1.1797,,,383,Project,Mixed,Mixed Traffic,Philadelphia,Central,4288
-75.158039,39.95292,71289,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/07 00:00:00+00,2010,4210160103,,11th st,north,arch st,market st,Bicycle 1,39.95292,-75.158039,0.968,1.1797,,,466,Project,Mixed,Mixed Traffic,Philadelphia,Central,4289
-75.163833,39.959294,71290,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,15th st,south,callowhill st,vine st,Bicycle 1,39.959294,-75.163833,0.949,1.1797,,,185,Screen Line,Mixed,Striped Shoulder,Philadelphia,Central,4290
-75.16448,39.95607,71291,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,15th st,south,cherry st,race st,Bicycle 1,39.95607,-75.16448,0.949,1.1797,,,360,Project,Mixed,Mixed Traffic,Philadelphia,Central,4291
-75.166086,39.948972,71292,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,15th st,south,walnut st,locust st,Bicycle 1,39.948972,-75.166086,0.949,1.1797,,,662,Project,Mixed,Mixed Traffic,Philadelphia,Central,4292
-75.167449,39.950165,71293,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,16th st,north,walnut st,sansom st,Bicycle 1,39.950165,-75.167449,0.949,1.1797,,,821,Project,Mixed,Mixed Traffic,Philadelphia,Central,4293
-75.166268,39.955298,71294,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,16th st,north,arch st,cherry st,Bicycle 1,39.955298,-75.166268,0.949,1.1797,,,243,Project,Low Volume,Mixed Traffic,Philadelphia,Central,4294
-75.179969,39.955387,71868,jh,Seasonal factor are calculated from 2015 permanent station data.   Most cyclists on wide sidewalk,2011/04/28 00:00:00+00,2011,4210160110,,john f kennedy blvd eastbound lanes,east,schuylkill ave,23rd st,Bicycle 1,39.955387,-75.179969,0.962,1.1797,,,6,Screen Line,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,4348
-75.17929223,39.9527819900001,71876,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160103,,chestnut st bridge westbound,east,schuylkill ave,23rd st,Bicycle 1,39.95278199,-75.17929223,0.968,1.1797,,,71,Screen Line,Mixed,Bike Lane,Philadelphia,Central,4871
-75.17997,39.95128,71879,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/04/21 00:00:00+00,2011,4210160103,,walnut st bridge,west,schuylkill ave,23rd st,Bicycle 1,39.95128,-75.17997,1.012,1.1797,,,1016,Screen Line,Mixed,Bike Lane,Philadelphia,Central,4874
-75.219982,39.928567,78737,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,58th st northbound lane,north,elmwood ave,lindbergh blvd,Bicycle 1,39.928567,-75.219982,0.93,1.1797,,,9,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,5576
-75.100259,39.981547,78733,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,allegheny ave eastbound lane,east,richmond st,bath st,Bicycle 1,39.981547,-75.100259,0.93,1.1797,,,9,Project,Low Volume,Bike Lane,Philadelphia,River Wards,14735
-75.214489,39.933168,78725,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,harley ave northbound lane,north,lindbergh blvd,53rd st,Bicycle 1,39.933168,-75.214489,0.93,1.1797,,,4,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,15244
-75.085046,39.981847,78730,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,delaware ave southbound lane,south,venango st,castor ave,Bicycle 1,39.981847,-75.085046,0.93,1.1797,,,7,Project,Low Volume,Mixed Traffic,Philadelphia,River Wards,15331
-75.214478,39.933137,78726,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,harley ave southbound lane,south,lindbergh blvd,53rd st,Bicycle 1,39.933137,-75.214478,0.93,1.1797,,,6,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,15794
-75.100195,39.981576,78734,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,allegheny ave westbound lane,west,richmond st,bath st,Bicycle 1,39.981576,-75.100195,0.93,1.1797,,,9,Project,Low Volume,Bike Lane,Philadelphia,River Wards,19934
-75.180109,39.944958,71597,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/20 00:00:00+00,2010,4210160103,,grays ferry ave,south,bainbridge st,south st,Bicycle 1,39.944958,-75.180109,0.968,1.1797,,,232,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,23565
-75.167663,39.937942,79159,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/06 00:00:00+00,2011,4210160112,,washington ave eastbound lanes,east,15th st,pa 291 broad st,Bicycle 1,39.937942,-75.167663,0.9,1.1797,,,101,Project,Low Volume,Bike Lane,Philadelphia,South,24894
-75.16409,39.929328,79141,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/06 00:00:00+00,2011,4210160112,,passyunk ave,north,12th st,tasker st,Bicycle 1,39.929328,-75.16409,0.9,1.1797,,,149,Project,Mixed,Mixed Traffic,Philadelphia,South,25133
-75.142724,39.924268,79144,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/07/01 00:00:00+00,2011,4210160112,,pier 70 blvd eastbound lanes,east,christopher columbus blvd,home depot parking entrance,Bicycle 1,39.924268,-75.142724,0.9,1.1797,,,26,Project,Low Volume,Mixed Traffic,Philadelphia,South,25487
-75.185822,39.936,79148,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/29 00:00:00+00,2011,4210160112,,25th st northbound lanes,north,reed st,wharton st,Bicycle 1,39.936,-75.185822,0.9,1.1797,,,42,Project,Low Volume,Mixed Traffic,Philadelphia,South,25488
-75.185897,39.936012,79149,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/29 00:00:00+00,2011,4210160112,,25th st southbound lanes,south,reed st,wharton st,Bicycle 1,39.936012,-75.185897,0.9,1.1797,,,42,Project,Low Volume,Mixed Traffic,Philadelphia,South,25489
