"CRN","DISTRICT","COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","WORK_ZONE_TYPE","WORK_ZONE_LOC","WORK_ZONE_IND","INTERSECT_TYPE","TCD_TYPE","LOCATION_TYPE","URBAN_RURAL","FATAL_COUNT","INJURY_COUNT","PERSON_COUNT","TOTAL_UNITS","SCH_BUS_IND","SCH_ZONE_IND","LATITUDE","LONGITUDE","ARRIVAL_TM","CONS_ZONE_SPD_LIM","DISPATCH_TM","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","TOT_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","MAX_SEVERITY_LEVEL","COMM_VEH_COUNT","DEC_LAT","DEC_LONG","RDWY_SURF_TYPE_CD","COUNTY_YEAR"
"2001206152","06","67","67301","67301","2001","01","4","0548","05","3","1","0","8","1","","","N","00","0","00","3","0","1","2","2","N","N","39 57:46.800","75 09:53.280","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","39.9629","-75.165","","CRASH_2001_Philadelphia"
"2001209032","06","67","67301","67301","2001","01","2","1800","18","3","1","0","1","1","","","N","01","0","00","3","0","3","4","2","N","N","39 55:24.960","75 14:44.880","9999","","9999","","0","","N","","0 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9236","-75.2457","","CRASH_2001_Philadelphia"
"2001209053","06","67","67301","67301","2001","01","5","1631","16","1","1","0","1","1","","","N","00","0","00","3","0","0","3","3","N","N","39 59:00.240","75 05:54.600","9999","","9999","","0","","N","","0 ","","","","","","","","","","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.9834","-75.0983","","CRASH_2001_Philadelphia"
"2001211712","06","67","67301","67301","2001","02","1","1412","14","1","1","0","4","1","","","N","01","2","00","3","0","1","4","2","N","N","40 03:24.154","75 08:23.496","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0567","-75.1399","","CRASH_2001_Philadelphia"
"2001215632","06","67","67301","67301","2001","03","5","1714","17","1","1","0","1","1","","","N","01","2","00","3","0","1","2","2","N","N","","","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","","","","CRASH_2001_Philadelphia"
"2001223777","06","67","67301","67301","2001","03","1","1852","18","1","9","9","4","1","","","N","01","9","00","3","0","0","2","3","N","N","","","9999","","9999","","0","","N","","9 ","","","","","","","","","","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","CRASH_2001_Philadelphia"
"2001007236","06","67","67301","67301","2001","06","1","2030","20","1","1","0","4","1","","","N","01","2","00","3","0","4","4","2","N","N","39 57:03.000","75 09:56.100","2030","","2030","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","3","1","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","39.9508","-75.1656","","CRASH_2001_Philadelphia"
"2001007423","06","67","67301","67301","2001","05","1","1725","17","1","2","1","7","7","","","N","07","0","02","3","0","0","1","1","N","N","39 58:00.480","75 11:16.440","1746","","1731","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.9668","-75.1879","","CRASH_2001_Philadelphia"
"2001208911","06","67","67301","67301","2001","01","3","0745","07","1","2","1","7","5","","","N","00","0","00","3","0","0","1","1","N","N","40 00:44.280","75 05:16.440","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0122","-75.0879","","CRASH_2001_Philadelphia"
"2001208927","06","67","67301","67301","2001","01","6","2130","21","3","2","1","8","1","","","N","00","0","00","3","0","1","2","2","N","N","39 58:22.800","75 09:32.400","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","39.973","-75.159","","CRASH_2001_Philadelphia"
