"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","1","1","5 SOUTH OWASSO BLVD","","LITTLE CANADA","MN","55117","Damp;T TRUCKING COMPANY INC","8003280858","2003","2003094313","080000","","","","","N","","","","","000149546","N","","00155252","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","9400 nw 10th st","","oklahoma city","OK","73127","swift transportation","9999999999","2003","2003094588","000000","","","","","N","","","","","000000000","","","00000000","06","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","1130 SHEEP HILL RD.","","NEW HOLLAND","PA","17557","CHANLETT SAUDER TRUCKING","9999999999","2003","2003094643","880000","","","","","N","","","","","000000000","N","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","4","1","2705 BLACK LAKE PLACE","","PHILADELPHIA","PA","19154","BUSTLETON SERVICES INC","2672491846","2003","2003094912","073280","","","","","N","","","","","000000000","N","","00000000","04","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","1394 piney hollow rd","","newfield","NJ","08344","ferucci","8566970981","2003","2003094949","000000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","8","3","unknown","","unknown","ZZ","99999","unknown","9999999999","2003","2003094951","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","550 swamp rd","","newtown","PA","18940","donnelly contract","9999999999","2003","2003094953","000000","","","","","N","","","","","000000000","","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","424 hamilton st","","henderson","NC","27536","alston","9999999999","2003","2003094954","000000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","1330 n broad st","p.o. box 892","lansdale","PA","19446","lansdale warehouse","9999999999","2003","2003094955","000000","","","","","N","","","","","000000000","","","00000000","06","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","413 s. broad st","","philadelphia","PA","19147","odyssey","9999999999","2003","2003094970","080000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","228 SE I39TL 96E","","POZTLAGO","OR","97233","TONY EXPRESS INC","9999999999","2003","2003094978","080000","","","","","N","","","","","000000000","N","","00806204","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","813 N OCTORARA TRAIL","I","P4RKESBUZG","PA","18365","BZT J I","8882825766","2003","2003094979","080000","3","","","","Y","1","","","","000000000","N","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","9","2","1600 arch street","","philadelphia","PA","19103","city of phila","9999999999","2003","2003095064","000000","","","","","N","","","","","000000000","","","00000000","09","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","847 FORTY FOOT ROAD","","HATFIELD","PA","19440","ROSENBERGERS DAIRIES","2159452300","2003","2003092901","033000","","","","","N","","","","","000000000","N","","00296539","03","COMMVEH_2003_Philadelphia","67","67301"
"99","7","1","100 S BROAD STREET","3RD FLOOR","PHILADELPHIA","PA","19111","CITY OF PHILADELPHIA","2156861776","2003","2003092906","073280","","","","","N","","","","","000000000","U","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","unknown","","philadephia","PA","99999","septa","2159999999","2003","2003093280","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","7","2","1600 ARCH STREET","","PHILADELPHIA","PA","19103","CITY OF PHILA","2156858072","2003","2003093296","000000","","","","","N","","","","","000000000","N","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","401 DOMINO LANE","","PHILADELPHIA","PA","19128","PENN DISTRIBUTORS","9999999999","2003","2003093297","073280","","","","","N","","","","","000000000","N","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","1234 mArKET sT","","PHILA","PA","19107","SEpTA","2155807800","2003","2003063737","000000","","","","","N","","","","","000000000","N","","00005480","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","unknown","","philadelphia","PA","99999","philadelphia school","9999999999","2003","2003063744","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","3000 school house ln","","philadelphia","PA","19144","william penn charter","9999999999","2003","2003063760","999999","","","","","N","","","","","999999999","N","","99999999","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","8220 bartram ave","","philadelhia","PA","19153","progressive transp.","2153653477","2003","2003063765","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","14TH FLOOR","PHIALDELPHIA","PA","19107","SEPTA","2155807145","2003","2003063773","","","","","","N","","","","","999999999","","","00999999","11","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","221 MECHANIC ST","","CAMDEN","NJ","08104","JYE INC","8564562000","2003","2004011051","080000","","","","","N","","","","","999999999","N","","00361695","08","COMMVEH_2003_Philadelphia","67","67301"
"01","8","2","2428 W HAGERT ST","","PHILA","PA","19132","SEPTA","2155805301","2003","2004011396","999999","","","","","N","","","","","999999999","U","","99999999","11","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","89 SAND RD","","NEW BRITAIN","PA","18901","BATEMAN BROS LUMBER CO INC","9999999999","2003","2004011454","033000","","","","","N","","","","","999999999","N","","99999999","05","COMMVEH_2003_Philadelphia","67","67301"
"99","9","1","2620 Grove Neck Road","","Earleville","MD","21919","MJM Trucking","4102752982","2003","2004002430","099999","","","","","N","","","","","000000000","N","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","9","1","unknown address","","scarborough","ON","m1b1w","unknown carrier","9054951805","2003","2004002550","000000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","127 W Susquehanna","","Philadelphia","PA","19122","Salem Limousine Co","2157788466","2003","2004002553","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","7700 State Rd","","Philadelphia","PA","191363406","Commercial Transportation Inc","2153313700","2003","2004002651","080000","","","","","N","","","","","000002605","N","","00085508","08","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","One Penn Plaza East","","Newark","NJ","07105","New Jersey Transit","9999999999","2003","2004002652","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","7","1","53 BLACKWOOD BARNSBORO","PO BOX 454","SEWELL","NJ","08080","LAWRENSON INC","8885487274","2003","2003097018","080000","","","","","N","","","","","000000000","N","","00686229","04","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","1434 n. maxwell st.","","lehigh valley","PA","18002","miller trucking se","9999999999","2003","2003081894","000000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","po box 405 rt.10","pheasant rd","reading","PA","19603","penske truck lease","9999999999","2003","2003081910","000000","","","","","N","","","","","000000000","","","00000000","06","COMMVEH_2003_Philadelphia","67","67301"
"99","1","3","100 s. broad st","","philadelphia","PA","19110","city of phila","2156859964","2003","2003081981","000000","","","","","N","","","","","000000000","","","00000000","09","COMMVEH_2003_Philadelphia","67","67301"
"99","3","1","4I00 5 C0UNCIL","","OKLAHO4A CITY","OK","73179","JB HUNT","8885276524","2003","2003081984","080000","","","","","N","","","","","000000000","N","","00080806","09","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","1234 market st 14th fl","","philadelphia","PA","19107","septa","2155807800","2003","2003082116","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","100 s. broad st 3rd fl","","philadelphia","PA","19110","city of phila","2159999999","2003","2003082122","036200","","","","","N","","","","","000000000","","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","975 cedar lane","","penns park","PA","18943","gorski","2155983386","2003","2003082128","000000","","","","","N","","","","","000000000","","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","8","1","4300 aramingo","","philadelphia","PA","19124","robinson bus","2155357300","2003","2003082138","000000","","","","","N","","","","","000000000","","","00000000","10","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","1234 market st 14th fl","","philadelphia","PA","19107","septa","2155807800","2003","2003082176","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","333 jenkintown commons","","mt36802","PA","19046","metro care inc","2155516651","2003","2003082181","000000","","","","","N","","","","","000000000","","","00000000","10","COMMVEH_2003_Philadelphia","67","67301"
"99","1","1","344 chaple heights rd","","sewell","NJ","08080","hamilton truck serv","9999999999","2003","2003082209","080000","","","","","N","","","","","000000000","","","00000000","08","COMMVEH_2003_Philadelphia","67","67301"
"99","1","2","122 w. manheim","","philadelphia","PA","19144","fischr","2154556511","2003","2003082363","000000","","","","","N","","","","","000000000","","","00000000","05","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","1820-40 e sedgley ave","","philadelphia","PA","19214","yellowbird","9999999999","2003","2003082399","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
"99","8","2","1234 mrkwet st 14th fl","","philadelphias","PA","19107","septa","2159999999","2003","2003082511","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2003_Philadelphia","67","67301"
