"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2007080818","1","N","N","N","N","0","N","N","Y","N","00650","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080818","2","","","","","","","","","","","","","","","","","","","","U","N","Y","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080822","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080825","1","N","Y","U","U","0","U","U","Y","Y","00750","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080828","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080849","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080860","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080863","2","N","U","N","Y","0","","","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080864","1","U","U","U","Y","1","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080868","1","N","N","N","N","0","","","Y","N","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080890","2","U","U","U","U","1","U","U","U","U","99999","","","","","","","","U","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080922","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080924","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080939","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080941","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080950","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080959","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007080995","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081021","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081023","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081035","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081079","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081082","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081130","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081137","1","N","U","N","U","9","U","U","N","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081277","2","U","U","U","U","1","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081293","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
