"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"1","3","67","2007","2007014726","02","190","W","3","1","0076","3401","50","SCHUYLKILL EX","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2008053049","02","","E","3","4","","","35","HAINES ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2008053049","02","","N","4","4","","","25","ARDLEIGH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2008053189","99","","N","4","4","","","","OLD YORK RD","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2008053189","99","","W","3","4","","","","NEDRO ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2008053987","02","","N","3","4","","","","SUFFOLK AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2008053987","02","","E","4","4","","","","LINDBERGH BL","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2008057783","2 ","1609","W","3","2","4019","0030","25","WASHINGTON LN","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116142","04","","N","3","4","","","","BARTRAM AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116200","02","1533","N","3","2","1011","0090","30","WELSH RD","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116200","02","","S","4","4","","","25","MOREFIELD RD","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116247","01","","N","3","4","","","15","PERCY ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117204","02","","S","3","4","","","25","MICHENER AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117285","02","","N","4","4","","","","61ST ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117285","02","","E","3","4","","","","LOCUST ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007118086","99","","S","4","4","","","","EIGHTH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007118086","03","895","E","3","2","2676","0014","25","VINE ST","ROADWAY_2007_Philadelphia","67301"
"3","5","67","2007","2007118261","02","0","S","5","2","1013","0031","35","ACADEMY RD","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007118261","02","0","N","3","2","0013","0280","30","FRANKFORD AV","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007118261","02","0","N","4","2","1013","0030","35","ACADEMY RD","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007114046","02","910","E","5","2","2014","0080","25","","ROADWAY_2007_Philadelphia","67301"
"","5","67","2007","2007114046","01","","N","4","4","","","","EMERALD ST","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007114046","02","914","W","3","2","2014","0081","25","LEHIGH AV","ROADWAY_2007_Philadelphia","67301"
