"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2015074959","1","2","2","0","99","99","03","1","25","F","0","1","N","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074959","1","1","1","0","99","99","01","1","24","F","0","1","N","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074965","2","4","2","0","03","00","06","1","16","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074965","2","3","2","8","03","12","03","1","17","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074965","2","2","1","0","03","12","01","1","51","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074965","1","1","1","0","03","12","01","1","27","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006059","2","1","1","8","99","00","01","0","47","M","0","0","Y","","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003432","2","2","1","8","03","01","01","0","42","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003432","1","1","1","9","99","99","01","0","99","U","0","0","N","ZZ","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074881","1","3","2","0","04","04","06","0","2","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074881","1","2","2","0","03","04","03","0","13","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074881","1","1","1","3","00","04","01","0","41","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074969","1","1","1","4","03","01","01","1","29","F","0","1","N","FL","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006048","1","1","1","0","99","99","01","1","40","M","0","1","","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006048","2","2","1","0","99","99","01","1","25","F","0","1","","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006048","2","1","2","8","99","99","99","0","9","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007134","1","1","1","0","03","12","01","0","67","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007134","2","2","1","4","03","12","01","0","39","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","1","1","1","0","03","12","01","1","70","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","2","6","2","0","02","12","05","1","6","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","2","5","2","8","03","12","04","1","10","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","2","4","2","0","03","12","06","1","58","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","2","3","2","0","03","12","03","1","60","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074973","2","2","1","0","03","12","01","1","62","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074983","1","2","2","0","03","12","03","1","58","F","0","1","Y","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074983","1","1","1","4","00","12","01","1","57","M","0","1","Y","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003957","1","1","1","0","03","19","01","1","27","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051923","2","1","1","0","99","99","01","0","25","M","0","0","","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051923","1","1","1","4","99","99","01","0","55","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051949","2","2","2","8","99","00","03","0","33","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051949","2","1","1","0","99","00","01","0","39","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
