"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2015008685","1","0","MO","7","3566PF ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015009597","1","0","","","IVIK ","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015009606","1","0","","1","","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015010680","2","0","NJ","7","TKN41H ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015011936","1","0","ZZ","7","UNKNOWN ","2099","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015011936","2","0","PA","7","XJF5600 ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012319","2","0","NJ","7","YILRM80D ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012347","2","0","NJ","6","TNR48B ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012358","1","0","","","I ","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012358","2","0","","","I ","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012421","1","0","ZZ","7","8AH84 ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015012711","1","0","ZZ","7","4P590X ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015015045","1","0","IN","7","P258436 ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015033126","3","0","ME","7","1758538 ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015033139","2","0","ME","7","1935422 ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015033333","1","0","ZG","6","19Z131 ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015035064","1","0","ME","7","19-90803 ","2019","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015035130","2","0","","1","IVII ","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015036553","1","0","ML","7","189Y24 ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015036564","2","0","NJ","7","1IEHY7JW ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015036695","1","0","ME","7","BI3937I ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015036747","2","0","SD","7","91399 ","2012","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015038241","2","0","NJ","6","THP72D ","2018","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015065448","2","0","VA","7","999999999999","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015066226","1","0","IL","7","H64H6ST ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015066278","1","0","","9","","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015066332","2","0","IN","7","P46403 ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015067255","3","0","TN","7","U427506 ","2016","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015067923","1","0","NE","7","G04J98 ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015067923","2","0","","","O ","","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015067924","1","0","FL","7","NSYCL ","9999","2015","67","TRAILVEH_2015_Philadelphia","67301"
"2015068038","1","0","OK","7","2124FP ","2015","2015","67","TRAILVEH_2015_Philadelphia","67301"
