"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_NAME","COUNTY","MUNICIPALITY"
"02","8","2","3101 ORTHODOX AVE","","PHILADELPHIA","PA","19137","MAT BUS CO","2153830470","2017","2017000822","029500","","","","","N","","","","","","N","","02643668","11","Philadelphia","67","67301"
"99","9","1","3655 NW 91ST LANE","","SUNRISE","FL","33351","DIRECT TRANSPORTATION","8506173711","2017","2017002636","080000","","","","","N","","","","","","N","","02462210","06","Philadelphia","67","67301"
"05","1","2","UNKNOWN","","UNKNOWN","ZZ","9999999","UNKNOWN","9999999999","2017","2017004032","","","","","","N","","","","","","N","","99999999","08","Philadelphia","67","67301"
"02","8","3","1234 MARKET ST","","PHILA","PA","19107","SEPTA","2155807800","2017","2017005491","053000","","","","","N","","","","","","N","","00010206","11","Philadelphia","67","67301"
"04","8","2","3975 CONSHOHOCKEN AVE","","PHILADELPHIA","PA","19131","EASTER SEALS OF SOUTHEASTERN P","2158791000","2017","2017006851","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","7","1","100 S BROAD ST","","PHILA","PA","19110","CITY OF PHILA","9999999999","2017","2017007790","058350","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2017","2017007824","999999","","","","","N","","","","","","N","","","10","Philadelphia","67","67301"
"99","1","1","1393 BALTIMORE PIKE","","WAWA","PA","99999","WAWA INC","9999999999","2017","2017007887","033000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"02","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155807800","2017","2017008423","","","","","","N","","","","","","N","","00010206","11","Philadelphia","67","67301"
"99","9","1","32 PONDS VW RD","","GLEN MILLS","PA","19342","TEUTONIC TRANSPORTATION LLC","4358507698","2017","2017008748","080000","","","","","N","","","","","","N","","00252604","08","Philadelphia","67","67301"
"99","2","1","UNKNOWN","","UNKNOWN","ZZ","99999","UKNOWN","9999999999","2017","2017009833","","","","","","N","","","","","","N","","09999999","09","Philadelphia","67","67301"
"03","2","2","4635 DIVISION HIGHWAY","","EAST EARL","PA","17519","H.R. EWELL INC","6106623335","2017","2017009870","080000","","","","","N","","","","","","N","","00010571","08","Philadelphia","67","67301"
"04","7","1","2650 AUDUBON RD","","AUDUBON","PA","19403","SOLID WASTE SERVICES INC","8002221818","2017","2017010543","073280","","","","","N","","","","","","N","","00454743","04","Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017010585","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","2","1403 E CLIVEDEN ST","","PHILA","PA","19150","GRAY","9999999999","2017","2017010592","014000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
