"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017091859","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","U","2017","67","Philadelphia","67301"
"2017088779","5","N","N","N","N","0","N","N","N","N","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017093562","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","Y","N","N","Y","2017","67","Philadelphia","67301"
"2017111780","1","N","Y","N","Y","1","N","Y","Y","Y","00599"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017097899","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017075219","1","N","N","Y","Y","1","U","Y","Y","N","00998"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017128018","2","U","U","Y","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017091291","1","N","Y","Y","N","1","Y","Y","Y","N","00750"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017035622","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017011833","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","Y","N","Y","2017","67","Philadelphia","67301"
"2017086258","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017096403","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017055462","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017035593","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017096433","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017060632","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017033501","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017037353","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017043850","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017116213","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017109756","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","Y","2017","67","Philadelphia","67301"
"2017105909","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017106020","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2018027482","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017091837","1","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017104839","1","N","N","N","Y","0","N","N","Y","Y","01500"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2018005467","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017068074","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017070969","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","U","2017","67","Philadelphia","67301"
"2017130723","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","Y","2017","67","Philadelphia","67301"
"2017086728","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017091402","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","U","2017","67","Philadelphia","67301"
"2017047545","1","N","Y","Y","Y","0","N","N","Y","N","00650"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017021504","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017086075","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017043806","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017086182","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","U","N","U","2017","67","Philadelphia","67301"
"2017086330","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017076259","2","U","U","U","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017096463","1","U","U","N","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017033044","1","U","U","Y","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017033050","1","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
