"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017127319","1","1","1","8","99","99","01","0","35","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127319","2","1","1","0","00","00","01","0","29","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127324","1","1","1","0","99","04","01","1","43","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127324","2","1","1","8","99","04","01","1","51","M","0","0","N","MD","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127324","3","1","1","8","99","04","01","1","50","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127334","1","1","1","0","00","00","01","0","29","U","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127334","2","99","1","4","03","01","01","1","52","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127338","1","1","1","9","99","99","01","0","99","U","0","0","N","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017127355","1","1","1","0","00","00","01","0","42","U","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127355","2","1","1","8","99","04","01","0","28","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127356","1","1","1","0","99","99","01","1","62","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127356","2","1","1","0","99","99","01","1","27","F","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127377","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017127377","2","1","7","8","00","00","00","0","9","M","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2017127379","1","1","1","0","00","00","01","0","30","U","0","0","N","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2017127413","1","1","1","0","99","00","01","0","44","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127413","1","2","2","0","99","00","03","0","71","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127413","2","1","7","8","00","00","00","0","36","M","0","0","Y","  ","9","05","3","9","2017","67","Philadelphia","67301"
"2017133941","1","1","1","0","03","12","01","0","23","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133941","2","2","2","0","03","12","03","0","43","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133941","2","3","2","8","03","12","06","0","21","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133941","2","4","2","0","03","12","04","0","14","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133941","2","5","1","0","00","00","01","0","35","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005515","1","1","1","4","99","01","01","1","51","M","0","3","Y","PA","1","  "," "," ","2017","67","Philadelphia","67301"
"2018005534","1","1","1","8","99","99","01","9","51","M","9","9","Y","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2018005534","2","1","1","0","99","99","01","9","17","M","9","9"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005571","1","1","1","0","01","00","01","0","81","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005571","2","1","7","2","00","00","00","0","53","F","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2017067941","1","1","1","0","01","00","01","0","27","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067941","2","1","7","4","00","00","00","0","22","F","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2017067957","1","1","1","4","99","01","01","0","30","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067957","2","2","1","4","03","04","01","0","25","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067957","2","3","2","4","03","04","03","0","47","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067957","2","4","2","4","03","04","04","0","7","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067957","3","1","7","4","00","00","00","0","37","M","0","0"," ","  ","9","10","3","9","2017","67","Philadelphia","67301"
"2017067982","1","1","1","0","99","99","01","1","77","M","0","1","N","PA","6","  "," "," ","2017","67","Philadelphia","67301"
"2017067982","2","1","2","0","99","99","04","1","26","M","0","1","N","  ","","  "," "," ","2017","67","Philadelphia","67301"
"2017067982","2","2","2","0","00","00","99","0","26","F","0","0","N","  ","","  "," "," ","2017","67","Philadelphia","67301"
"2017068049","1","1","1","0","99","01","01","0","28","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068049","2","1","1","0","99","01","01","0","30","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068049","2","2","2","8","99","99","06","0","1","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068065","1","1","1","0","00","00","01","0","99","M","0","0","N","ZZ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017068065","2","1","7","4","00","00","00","0","31","M","0","0","Y","  ","0","01","1","1","2017","67","Philadelphia","67301"
"2017068085","1","1","1","9","99","00","01","1","19","M","0","1","N","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2017068085","2","1","1","8","99","01","01","1","26","M","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068085","2","2","2","8","99","99","99","0","20","U","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097848","1","1","1","4","99","04","01","1","26","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097848","1","2","2","4","00","04","98","0","40","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017075291","1","1","1","8","99","10","01","0","24","F","0","0","Y","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2017075291","2","1","1","0","99","00","01","0","59","M","0","0","N","DE","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","1","1","0","99","12","01","0","54","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","2","2","0","99","12","03","0","45","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","3","2","0","99","00","06","0","56","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","2","1","1","8","99","12","01","0","51","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
