"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_NAME","MUNICIPALITY"
"67","2017","2017045674","2 ","0","N","5","2","0030","0010","30","LANCASTER AV","Philadelphia","67301"
"67","2017","2017045674","2 ","0","S","4","2","0001","0031","35","CITY AV","Philadelphia","67301"
"67","2017","2017045674","2 ","0","N","3","2","0001","0030","35","CITY AV","Philadelphia","67301"
"67","2017","2017045748","2 ","979","S","3","2","3017","0030","35","FIFTYSECOND ST","Philadelphia","67301"
"67","2017","2017045753","01","","S","4","4","","","25","9TH ST","Philadelphia","67301"
"67","2017","2017045753","01","","N","3","4","","","25","GREENWICH ST","Philadelphia","67301"
"67","2017","2017058849","3 ","1177","W","3","1","0076","3425","50","SCHUYLKILL EX","Philadelphia","67301"
"67","2017","2017086898","02","","S","4","4","","","25","12TH ST","Philadelphia","67301"
"67","2017","2017086898","02","1612","E","5","2","2006","0070","35","SPRING GARDEN ST","Philadelphia","67301"
"67","2017","2017086898","02","1594","W","6","2","2006","0071","35","SPRING GARDEN ST","Philadelphia","67301"
"67","2017","2017086898","2 ","103","S","3","2","3009","0020","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017086901","3 ","652","S","3","2","0611","0041","30","BROAD ST","Philadelphia","67301"
"67","2017","2017086918","01","","S","4","4","","","25","16TH ST","Philadelphia","67301"
"67","2017","2017086918","01","","W","3","4","","","25","CAYUGA ST","Philadelphia","67301"
"67","2017","2017086932","03","","N","5","4","","","25","11TH ST","Philadelphia","67301"
"67","2017","2017086932","1 ","1245","W","4","2","2004","0011","25","MARKET ST","Philadelphia","67301"
"67","2017","2017086932","2 ","1264","E","3","2","2004","0010","25","MARKET ST","Philadelphia","67301"
"67","2017","2017053346","3 ","1464","N","3","1","0095","0270","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017060456","02","","W","4","4","","","35","MEDIA ST","Philadelphia","67301"
"67","2017","2017060456","01","","S","3","4","","","35","EDGEWOOD ST","Philadelphia","67301"
"67","2017","2017060471","01","640","E","3","2","8006","0010","25","RAMP A RD","Philadelphia","67301"
"67","2017","2017060471","02","","E","4","4","","","25","MONTGOMERY DR","Philadelphia","67301"
"67","2017","2017060536","02","","W","3","4","","","25","HUNTING PARK AV","Philadelphia","67301"
"67","2017","2017060559","02","","S","4","4","","","25","SOUTHAMPTON RD","Philadelphia","67301"
"67","2017","2017060559","02","","E","3","4","","","25","MCNULTY RD","Philadelphia","67301"
"67","2017","2017086941","02","","S","3","4","","","25","N 21ST ST","Philadelphia","67301"
"67","2017","2017086980","01","","E","5","4","","","25","WHARTON ST","Philadelphia","67301"
"67","2017","2017086980","2 ","902","S","4","2","0291","0161","25","BROAD ST","Philadelphia","67301"
"67","2017","2017086980","2 ","902","N","3","2","0291","0160","25","BROAD ST","Philadelphia","67301"
"67","2017","2017063309","4 ","989","S","3","1","0095","0145","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017095367","02","","E","3","4","","","45","WALT WHITMAN BR","Philadelphia","67301"
"67","2017","2017108548","3 ","422","W","3","1","0076","3471","50","SCHUYLKILL EX","Philadelphia","67301"
"67","2017","2017060470","01","","N","4","4","","","25","22ND ST","Philadelphia","67301"
"67","2017","2017060470","02","","W","3","4","","","25","CHRISTIAN ST","Philadelphia","67301"
"67","2017","2017060478","02","","S","3","4","","","25","N PARK AV","Philadelphia","67301"
"67","2017","2017060511","01","","E","4","4","","","25","APSLEY ST","Philadelphia","67301"
"67","2017","2017060511","02","","N","3","4","","","25","GREENE ST","Philadelphia","67301"
"67","2017","2017028810","04","","S","3","4","","","35","S 61ST ST","Philadelphia","67301"
"67","2017","2017028819","02","","S","4","4","","","25","TREVOSE RD","Philadelphia","67301"
"67","2017","2017028819","02","","W","3","4","","","25","EDISON AV","Philadelphia","67301"
"67","2017","2017028828","02","","S","4","4","","","25","RED LION RD","Philadelphia","67301"
"67","2017","2017028828","02","","N","3","4","","","25","DECATUR ST","Philadelphia","67301"
"67","2017","2017028851","01","","W","4","4","","","25","CHERRY ST","Philadelphia","67301"
"67","2017","2017028851","02","","N","3","4","","","25","18TH ST","Philadelphia","67301"
"67","2017","2017028869","02","","W","4","4","","","35","VINE ST","Philadelphia","67301"
"67","2017","2017028869","02","","N","3","4","","","35","59TH ST","Philadelphia","67301"
"67","2017","2017028884","02","","N","4","4","","","25","HAWTHORNE ST","Philadelphia","67301"
"67","2017","2017028884","3 ","1130","S","3","2","0013","0201","25","LEVICK ST","Philadelphia","67301"
"67","2017","2017028906","02","","W","4","4","","","25","PARKER AV","Philadelphia","67301"
"67","2017","2017028906","02","","S","3","4","","","25","UMBRIA ST","Philadelphia","67301"
"67","2017","2017011423","2 ","1183","W","3","1","0076","3461","50","SCHUYLKILL EX","Philadelphia","67301"
"67","2017","2017041156","01","","N","4","4","","","25","3RD ST","Philadelphia","67301"
"67","2017","2017041156","02","","E","3","4","","","25","CHRISTIAN ST","Philadelphia","67301"
"67","2017","2017041180","02","","E","3","4","","","25","W GIRARD AV","Philadelphia","67301"
"67","2017","2017041191","2 ","571","N","3","2","4001","0070","35","HENRY AV","Philadelphia","67301"
"67","2017","2017041218","02","","W","4","4","","","25","FISHER AV","Philadelphia","67301"
"67","2017","2017041218","02","","N","3","4","","","25","10TH ST","Philadelphia","67301"
"67","2017","2017041239","1 ","","E","4","4","","","25","ABBOTTSFORD AV","Philadelphia","67301"
"67","2017","2017041239","2 ","","N","3","4","","","35","FOX ST","Philadelphia","67301"
"67","2017","2017041274","2 ","2013","N","3","2","0013","0280","30","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017055667","02","","S","4","4","","","25","LAWNDALE AV","Philadelphia","67301"
"67","2017","2017055667","02","334","W","3","2","1008","0070","25","LEVICK ST","Philadelphia","67301"
"67","2017","2017055700","02","1525","W","3","2","1007","0051","25","TACONY ST","Philadelphia","67301"
"67","2017","2017060603","02","","S","3","4","","","25","40TH ST","Philadelphia","67301"
"67","2017","2017060603","02","","E","4","4","","","25","FAIRMOUNT AV","Philadelphia","67301"
"67","2017","2017060632","02","","S","3","4","","","25","N 2ND ST","Philadelphia","67301"
"67","2017","2017060636","2 ","282","E","3","2","3014","0020","25","SPRING GARDEN ST","Philadelphia","67301"
"67","2017","2017060655","01","","S","3","4","","","25","12TH ST","Philadelphia","67301"
