"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017019692","2","0","NJ","6","T34V54      ","2016","2017","67","Philadelphia","67301"
"2017050717","2","0","PA","7","PT8583L     ","2018","2017","67","Philadelphia","67301"
"2017076126","4","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017076142","3","0","IL","7","ZBH7        ","9999","2017","67","Philadelphia","67301"
"2017076174","2","0","  ","8","            ","    ","2017","67","Philadelphia","67301"
"2017076220","2","0","IN","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017038517","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017086329","1","0","  ","1","            ","    ","2017","67","Philadelphia","67301"
"2017106713","2","0","IL","7","546538ST    ","2017","2017","67","Philadelphia","67301"
"2017107974","2","0","  ","2","            ","    ","2017","67","Philadelphia","67301"
"2017107974","3","0","  ","2","            ","    ","2017","67","Philadelphia","67301"
"2017088946","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017088946","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017088947","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017088982","1","0","  ","1","            ","    ","2017","67","Philadelphia","67301"
"2017037187","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017037347","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017058240","3","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017104014","1","0","ME","7","273452B     ","2004","2017","67","Philadelphia","67301"
"2017086105","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017086111","3","0","PA","1","HML4689     ","2008","2017","67","Philadelphia","67301"
"2017086122","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017076669","2","0","TN","7","U035345     ","9999","2017","67","Philadelphia","67301"
"2018020743","1","0","ID","7","5365JL      ","9999","2017","67","Philadelphia","67301"
