"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018000618","2 ","555","W","3","2","2010","0040","25","CECIL B MOORE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018001306","01","","W","3","4","","","25","SUSQUEHANNA AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018001756","4 ","1867","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002147","01","","N","5","4","","","25","SYDENHAM ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002147","02","","N","4","4","","","25","SYDENHAM ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002147","01","","E","3","4","","","25","MONTGOMERY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002147","01","","E","6","4","","","25","MONTGOMERY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002537","3 ","1576","N","3","1","0095","0124","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018002651","2 ","1871","W","4","2","1002","0021","35","CHELTENHAM AV","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018002651","2 ","1848","E","3","2","1002","0020","35","CHELTENHAM AV","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018002772","4 ","1532","N","3","1","0095","0250","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003152","3 ","8","S","3","1","0095","0325","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003231","03","880","S","3","2","0001","0171","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003231","02","","S","4","4","","","25","4TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003231","02","","S","5","4","","","25","3RD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003246","02","","N","4","4","","","25","F ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003246","03","0","S","3","2","0001","0201","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003695","03","","W","5","4","","","35","LINDBERGH BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003695","3 ","0","N","3","2","3013","0030","35","ISLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018003695","2 ","0","S","4","2","3013","0031","35","ISLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004017","04","100","W","3","2","8061","0760","25","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004083","2 ","5366","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004095","4 ","829","W","3","1","0076","3401","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004108","3 ","31","W","3","1","0076","3465","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004109","4 ","2113","N","3","1","0095","0310","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004112","2 ","1026","W","3","1","0676","0011","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004113","2 ","0","S","4","2","3003","0041","40","THIRTYFOURTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004113","3 ","760","E","3","1","0076","3460","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004173","3 ","2454","E","3","1","0676","0004","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004176","4 ","1377","N","3","1","0095","0310","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004193","3 ","1579","E","3","1","0076","3464","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004194","3 ","1780","E","3","1","0076","3414","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004194","1 ","370","E","4","2","8006","0750","20","RAMP B RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004326","4 ","2653","N","5","2","0611","0190","30","OLD YORK RD","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018004353","3 ","913","S","3","2","0001","0161","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004353","02","","E","4","4","","","25","WYOMING AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004367","01","","N","4","4","","","35","13TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004367","01","","W","3","4","","","25","OXFORD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004668","4 ","1854","S","3","1","0095","0191","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018004711","3 ","4923","S","3","1","0095","0171","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005021","01","1956","N","3","2","8019","0010","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005229","3 ","1049","E","3","1","0676","0002","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005622","4 ","1040","N","3","1","0095","0224","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005683","2 ","5530","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005683","2 ","2365","W","4","2","8018","0020","40","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005701","4 ","2916","N","3","1","0095","0294","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005817","3 ","1993","E","3","1","0676","0004","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018005828","4 ","997","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006142","4 ","277","S","3","1","0095","0261","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
